titles,cleaned_sentences
나의 끝  당신의 시작,나 당신 시작 감독 마리 코 미노 구치 출연 에딘 하사 노빅 스키 로젠달 율리우스 펠드 마이어 개봉 독일 평점 리뷰 보다 리코 미노 구치 감독 연출 나 당신 시작 여성 느끼다 부재 결과 용서 이야기 작품 이다 연인 아론 노 은행 업무 은행 들어가다 무장 강도 만나다 노랗다 숨기다 두다 휴대폰 경찰 신고 하다 강도 들키다 노랗다 위협 하다 강도 아론 막다 과정 총 맞다 영화 시작 분도 안되다 남자 주인공 죽다 플래시백 등 통해 등장 하다 것 알다 한편 지역 남자 나탄 이야기 시작 되다 나탄 아내 딸 딸 백혈병 선고 받다 마트 경비원 일 나타 은 딸 갖다 싶다 하다 팔찌 훔치다 점 들키다 해고 당하다 부당하다 생각 나탄 점 코뼈 부러 트립 딸 보험료 위 하다 나탄 참다 그렇다 못 아내 남편 성격 분노 일으키다 딸 접근 하다 하다 나탄 딸 병원 비 구 하다 말다 범죄 준비 하다 그렇다 와중 나탄 아론 잃다 차 뛰어들다 노랗다 만나다 둘 우연 만나다 가까워지다 가지 타임 라인 진행 되다 작품 이다 먼저 아론 노랗다 연인 관계 시간 역순 진행 되다 그 교차로 나탄 이야기 펼쳐지다 노랗다 나탄 이야기 진행 되다 후반 부 엄청나다 반전 예상 되다 반전 기다리다 작품 의 긴장감 점차 증폭 되다 노랗다 끔찍하다 현실 공감 함 그녀 마지막 선택 놀라다 선택 일반 사람 나 당신 시작 감독 마리 코 미노 구치 출연 에딘 하사 노빅 스키 로젠달 율리우스 펠드 마이어 개봉 독일 리뷰 보기 이야기 특성 중요하다 스포일러 포함 되다 독일 마리 코 미노 구치 신인 감독 장편 데뷔 작 해외 영화제 주목 받다 독특하다 멜로 미스테리 장르 취하 시작 양자물리학 언급 하다 이르다 예고 하다 편이 독일 다운 이과 지적 멜로 시도 여기 웬만하다 임팩트 독일 영화 주로 출연 스키 로젠 달이 나오다 중심 잡다 생각 복잡하다 미스테리 이야기 아니다 그렇다 어렵다 시공간 멜로 풀다 내다 각본 돋보이다 편이 말 안되다 이야기 말 것 영화 매체 이용 것 시간 공간 과거 현재 뒤 섞이다 미래 현재 뒤 섞이다 끌다 나가다 매력 과정 미스테리 함 이용 관객 머릿속 휘저으 개연 성의 작동 훼방 하다 정교하다 편 복선 흔적 드러내다 중요하다 기본 멜로 포맷 풀다 나가다 부분 올드 편이 무려 현재 배경 전의 이야기 무방 하다 사건 우연 배치 익숙하다 편의 그렇다 보다 복 고풍 유럽 멜로 향 베 오기 배우 좋다 연기 더하다 과거 유럽 멜로 분위기 축 이루다 반면 이야기 태생 특성 산만하다 교차 편집 편이 선형 이야기 비선형 흐트려 매끈하다 이다 내자 생기다 문제 미스테리 함 위 필요성 때문 메인 멜로 힘 강력하다 중심 되어다 하다 점 있다 교차 편집 방해 되다 기도 감정 분절 작동 시공간 한계 작용 하다 나 당신 영화 나 당신 시작 메인 예고편 한글 미스터리 로맨스 의 끝 시작 알 말 남다 떠나다 연인 아론 시작 되다 노랗다 낯선 데자뷔 감독 마리 코 미노 구치 출연 스키 로젠달 에딘 하사 노빅 율리우스 펠드 마이어 영화 정보 영상 유익하다 구독 좋다 를 누르다 구독 힘 아론 노 지하철 만나다 사랑 빠지다 사람 은행 가다 강도 맞닥뜨 린다 강도 노랗다 스키 로젠달 불다 공격 하다 하자 아론 울리다 우스 펠드 마이어 분 이르다 제지 과정 아론 숨 거두다 죽다 직전 아론 노랗다 나 끝 시작 알아듣다 힘드다 말 남기다 그렇다 노 마트 일 하다 나탄 에딘 하다 비치 분과 인연 맺다 나탄 딸 백혈병 진단 받다 크다 돈 필요하다 친구 은행 털다 하다 은행 터 과정 노랗다 아론 마주 아론 죽다 되다 영화 나 당신 시작 데자뷔 소재 영화 영화 난해하다 분명 아론 죽다 계속 하다 영화 등장 하다 상황 반복 되다 기도 하다 또 나 끝 당신 시작 모르다 듯 말 의미 마지막 밝혀지다 허무하다 면도 없다 않다 영화 나 당신 시작 오다 개봉 다마 스타 헌 기자 기사 원문 보기 마이 스타 죽다 죽다 아니다 아론 노 지하철 만나다 사랑 빠지다 사람 은행 가다 강도 맞닥뜨 린다 강도 노랗다 사스 의 당신 시작 감독 마리 코 미노 구치 출연 에딘 하사 노빅 스키 로젠달 율리우스 펠드 마이어 개봉 독일 리뷰 보기
나의 작은 동무,영화 나 작다 동무 오다 개봉 앞두다 온라인 기자 시사회 개최 하다 영화 년대 에스토니아 배경 영화 주인공 렐 툰갈 자전 소설 꼬마 동무 어른 벨벳 톱밥 원작 제작 영화 당시 소련 지배 받다 에스토니아 시대 아픔 어리다 아이 시선 그리다 내다 에스토니아 건국 주년 기념 하다 만들어지다 영화 에스토니아 박스오피스 위 기록 하다 베를린 영화제 부산 국제 영화제 국제 명성 영화제 러브콜 받다 소련 학교 교장 렐 헬레나 마리아 라이즈 너 분 엄마 헬 메스 에바 콜디츠 불다 검다 옷 입다 남자 에스토니아 국기 소지 혐의 어디 론 끌리다 간다 헬 메스 어리다 렐로 말썽 피우지 아빠 탐벳 투 이스 크다 듣다 있다 돌아오다 것 말 하다 평소 말썽 낙인찍히다 렐 엄마 돌아오다 바라다 마음 착하다 아이 되다 소년단 들어가다 삶 목표 삼다 한편 반대파 숙청 앞장서다 정치 경찰 소련 내무 인민 위원회 게 헬메스 감옥 썩다 학생 에스토니아 국가 가르치다 혐의 추가 하다 아빠 들다 엄마 오다 아빠 말 내 학교 되다 엄마 오다 기다리다 렐 기다리다 엄마 집 돌아오다 않다 아빠 자신 속이다 생각 하다 원망하다 그렇다 렐로 엄마 잡아가다 엄마 친구 파울 삼촌 주한 울프 삭 분 스포츠 스타 이다 아빠 우승 메달 높다 사람 보여주다 아빠 존경 하다 것 엄마 나오다 것 라며 아빠 메달 보이다 달라 회유 하다 에스토니아 국기 들어가다 메달 소지 혐의 렐로 아빠 펠릭스 잡아들이다 속셈 말 렐로 넘어오다 않다 펠릭스 우리 낯선 에스토니아 년대 풍경 담다 영화 상영 중 이다 모두 예상외 코로나 사태 장기 되어다 엄혹 환경 개봉 선택 것 보이다 자그마치 전인 부산 국제 영화제 주목 받다 작품 소식 듣다 극장 향 하다 곧 학교 입학 하다 예정 미취 학 아동 렐 교장 선생님 엄마 운동선수 출신 아빠 이사 준비 새롭다 이사 집다 전 있다 학교 관사 비다 터 무니 누 추하다 렐 새집 내심 맘 들다 않다 예전 집 두다 인형 몰래 가져오다 엄마 되다 통 혼나다 렐 시무룩하다 커녕 금세 새집 적응하다 화분 깨뜨리다 엄마 혼나다 순간 검다 코트 입다 남자 집 들이다 닥치다 급작스레 엄마 이별 하다 렐 아빠 단둘 지내다 착하다 딸 되다 돌아오다 엄마 기다리다 하루하루 새롭다 인생 발 내딛다 나 작다 동무 에스토니아 북유럽 작다 국가 배경 시대극 이다 세계대전 독립국 로써 주권 누리다 에스토니아 소련 강제 병합 되어다 하다 저 영화 리뷰 준비 하다 처음 알 사다 익숙하다 구도 작품 렐로 인생 시대 충실하다 조명 하다 이념 대립 넘다 소련 스탈린 권위 주의 유럽 대륙 최 북단 작다 국가 아이 구석구석 영향 주다 묵묵하다 지켜보다 주인공 렐 착하다 아이 되다 소년단 들다 싶다 소년단 스탈린 죽 어간 병사 노래 아이 연습 시키다 장면 따위 모습 차분하다 소개 되다 식 이다 제 시대 배경 나 작다 동무 표현 지켜보다 소개 적다 무겁다 소재 강박 전면 우지 않다 때문 이다 북유럽 시골 작다 나무 집 아빠 타고 다니다 오토바이 겨울 모습 영화 나 작다 동무 메인 예고편 무니 카 시멧츠 탐벳 투 이스 크다 부산 국제 영화제 아빠 착하다 아이 되다 엄마 돌아오다 년대 에스토니아 수용 소로 엄마 기다리다 렐 엄마 약속 착하다 아이 되다 빨갛다 스카프 두르다 소년단 되다 결심 다한 편 렐 자꾸만 집 찾아오다 검다 옷 입다 어른 왜 아빠 자랑스럽다 스포츠 메달 비밀 하다 하다 궁금하다 렐로 씩씩하다 소년단 되다 엄마 입학식 전 집 돌아오다 감독 무니 카 멧츠 출연 탐벳 투 이스 크다 영화 나 작다 동무 정보 영상 유익하다 구독 좋다 를 누르다 구독 힘 영화 의 작다 동무 소녀 눈 비치다 비밀스럽다 세상 년 소련 지배 있다 에스토니아 수용 소로 끌리다 간 엄마 기다리다 소녀 렐 착하다 기다리다 엄마 돌아오다 알 엄마 돌아오다 이상하다 검다 옷 입다 어른 아빠 스포츠 메달 찾다 오다 목격 하다 절실 엄마 기다림 대비 되다 아름답다 속 쓸쓸하다 영상 미가 가슴 찡하다 영화 의 작다 동무 렐 두다 갈다 자전 소설 꼬마 동무 어른 벨벳 톱밥 바탕 영화로 스탈린 탄압 사람 바치다 있다 이념 사상 아이 시선 의미 인지 느끼다 영화 회 부산 국제 영화제 부산 은행 작품 사진 출처 네이버 영화 의 작다 동무 드라마 에스토니아 개봉 국내 관람 감독 무니 카 시멧츠출연탐벳 투 이스 크다 줄거리 아빠 착하다 아이 되다 엄마 돌아오다 년대 에스토니아 수용 소로 엄마 기다리다 렐 엄마 약속 착하다 아이 되다 빨갛다 스카프 두르다 소년단 되다 결심 하다 한편 렐 자꾸만 집 찾아오다 검다 옷 입다 어른 아빠 자랑스럽다 스포츠 메달 비밀 하다 하다 궁금하다 렐로 씩씩하다 소년단 되다 엄마 입학식 전 집 돌아오다 포토 출처 네이버 영화 출처 네이버 영화
나의 흑역사 로맨티카,만 사랑스럽다 영화 보다 외모 사랑스럽다 귀엽다 스토커 마르타 사랑 행각 웃다 울다 보다 이탈리아 영화 언어 뉘앙스 질적 이다 생각 하다 마르타 사랑스럽다 움 저절로 느껴지다 스며들다 완벽 남 아르 투 를 향 무한 질주 속 마침내 진정하다 사랑 무엇 찾아가다 과정 마르타 솔직 발랄하다 앞 무장해제 되다 진정하다 사랑 응원 하다 듭 마르타 하다 친구 눈물 기다 우정 모처럼 영화관 나서다 담다 따뜻하다 감정 이다 비록 청춘영화 클래식 공식 이다 그 마르타 지우다 있다 거치다 없다 마르타 밉다 오버 않다 자체 연출 마르타 역 루 도비 카 프란체스코 배우 외 대체 불가 이다 사랑스럽다 움 마음 뭉클하다 담기다 영화 삭막하다 세상 살아가다 우리 스토리 언제 위안 감동 줍다 영화 원하다 분 강추 나 흑역사 로 티카 감독 알리 체 필 리피 추다 연루 도비 카 프란체스코 페 마 개봉 이탈리아 평점 리뷰 보기 나 흑역사 로 티카 감독 알리 체 필 리피 추다 연루 도비 카 프란체스코 페 마 개봉 이탈리아 평점 리뷰 보기 알리 체 필 리피 감독 연출 나 흑역사 로 티카 이탈리아 토리노 배경 로맨틱 코미디 이다 주인공 마르타 어리다 때 멋지다 남자 결혼 꿈꾸다 귀엽다 소녀 이다 수년 지나 부모님 잃다 남다 커다랗다 절친 보호자 아코 포 페데리카 살기 보호자 마르타 희귀 병 인하다 인생 남다 날 남지 않다 때문 이다 마르타 불꽃 같다 연애 최고 킹카 아르 투로 들이다 대기 시작 하다 스토커 그 주변 어슬렁거리다 찰나 아르 투로 저녁식사 초대 받다 저녁식사 아르 투 의 가족 식사 자리다 일부러 기르다 죽이다 떨치다 아르 투 로이 마르타 상황 씩씩하다 대처 하다 미안하다 짐 마르타 매력 느끼다 아르 투 마르타 데이트 신청 서로 빠져들다 둘 마르타 자신 병 아르 투로 말 하다 하다 전형 멜로드라마 이야기 이다 신데렐라 콘셉트 들어가다 작품 고요 초반 부 시한 부 인생 마르 타다 동정 하다 마음 들다 선 넘다 그녀 모습 맘 사라지다 기도 본격 사랑 빠지다 남녀 사랑스럽다 틀 박히다 작품 이다 새롭다 것 전혀 작품 같다 이야기 그러하다 토리노 국적 공간 이야기 쓰다 들다 만들다 다르다 보이다 있다 신선하다 느낌 수도 전혀 그렇다 하다 제목 나 흑역사 로 티카 지은 이유 전혀 모르다 시한 부 인생 흑역사 원제 모로 아쉽다 로맨틱코미디 이다 우정 사랑 마리 토끼 잡다 로맨틱 코미디 영화 나 흑역사 로 티카 개봉 하다 영화 불치 병 앓다 사랑스럽다 여자 주인공 완벽하다 인기 남 만나다 사랑 빠지다 전형 로맨틱 코미디 장르 영화 여자 주인공 마르 타루 도비 카 프란체스코 분 친구 페데 리카 코포 어리다 시절 시작 성장하다 사람 여전하다 우정 지키다 생활 하다 마르타 어리다 부터 불치 병 앓다 부모님 물리다 준 집 생활 하다 사람 하다 마르타 힘드다 시기 힘 되어다 가족 지내다 파티 가다 마르타 아르 투 만나다 눈 사랑 빠지다 마트 방송 아르바이트 평범하다 여자 잘생기다 부자 미래 보장 되다 가지다 남자 만나다 사랑 빠지다 신데렐라 급 판타지 영화 흔하다 내용 캐릭터 상큼 개성 흔하다 않다 영화로 만들다 뻔하다 결말 뻔하다 않다 받아들이다 다우 정이 소중하다 친구 자신 개성 가지다 마르타 불치 병 사랑 페데리카 코포 자신 정체 별개 아이 갖다 노력 하다 고민 가볍다 무겁다 다가가다 일상 살다 현재 상황 직시 자신 방법 문제 풀다 간다 어떻다 고민 완벽 남 아르 투 부모님 정해 놓다 길 로만 살아오다 자신 깨닫다 스스로 알 깨다 나오다 이렇다 인물 성장 바라보다 재미 쏠쏠하다 사랑 빠지다 마르타 자신 흑역사 스토킹 역사 쓰다 되다 로맨틱 코미디 영화 특유 사랑스럽다 움 무장 스토킹 마르타 엉뚱하다 드러내다 스토킹 범죄 무섭다 사실 덮다 있다 영화 통해 스토킹 범죄 가볍다 여겨지다 결과 좋다 상관없다 식 되다 인식 심다 아쉬움 남기다 영화 나 흑역사 로 티카 메인 예고편 한글 로 매틱 코미디 죽다 뜨겁다 사랑 싶다 마르타 데이트 앱 운명 남자 찾기 시작 하다 마음 들다 사람 어째 명도 포기 직전 마르타 기적 있다 시대 완벽 남 아르 투로 눈앞 나타나다 눈 사랑 빠지다 마르타 아찔하다 흑역사 생 대가 번의 저녁 식사 기회 얻다 되다 사랑 빠지다 확률 마르타 목숨 작전 성공하다 감독 알리 체 필 리피 출연 루 도비 카 프란체스코 페 마 가야 마 샬레 프 지유 엘레 오노 가제 영화 정보 영상 유익하다 구독 좋다 를 누르다 구독 힘 페 마 로마 이탈리아 배우 전기 편집 위키텍스트 편집 고전 고등학교 졸업 로마 대학 문학 철학 학부 다니다 그 학업 병행 하다 고등학교 졸업 대학교 졸업 이탈리아 해외 딕션 노래 영어 프랑스어 수많다 연기 과정 수강 그 늘다 영화 데뷔 영화 주인공 아모레 페데 리코 모시 영화 주인공 재생 부엉 지시 안드레아 또한 캐스트 일부 이다 텔레비전 시리즈 텔리 형사 감독 셀라 이쪼 그녀 역할 담당 네오 파시스트 테러 영화 를 볼로냐 아 스토 분노 비극 이야기 중심 볼로냐 학살 감독 조르다 단편영화 주인공 이름 학생 영화 주인공 하나 이다 환상 오다 감독 레오나르도 피 라치오 해 시리즈 시즌 출연 하다 시리즈 전편 주인공 명 시리즈 맡다 역할 연기 하다 방송 드라마 출연 카날 아모레 솔로 김정일 보스 코 새롭다 시한 부 소녀 유쾌하다 그리다 내다 수작 머리 아프다 영화 아니다 가볍다 영화 오늘 주말 이렇다 영화 좋다 듯 하다 이탈리아 영화 의 흑역사 로만 티카 섬유 낭성 증 불치 병 걸리다 소녀 남자 쟁취 기 차이다 급수 높다 넘다 영화 시한 부 인생 주제 다루다 대부분 최루성 보여주다 애쓰다 영화 접근 하다 않다 그녀 일찍 살 부모 여의 었 고집 채 남기다 떠나다 그녀 대학교 심리학 전공 하다 스파 르 마트 일품 방송 안내 하다 그녀 불치 병인 섬유 낭성 증인 가르다 앓다 있다 그녀 동성애자 절친 명 있다 가족 가깝다 친구 친구 그녀 사랑 하다 그녀 아이 좋아하다 애 낳다 그녀 어차피 죽 것 사랑 해보다 죽다 차일 것 라면 킹카 그녀 남자 찍다 모든 조사 하다 사랑 이루다 엄청나다 부자 조정 경기 탄탄하다 몸뭐 완벽하다 않다 남다 재미있다 유쾌하다 귀엽다 영화 풀다 나가다 다년 작 년 타다 등장 하다 유쾌하다 영화 머리 식히다 싶다 보다 추천 감독 클라우디오 로마 가다 이탈리아어 감독 전기 편집 위키텍스트 편집 경력 기간 시즌 시즌
나이트 언데드,영화 나이트 언데드 메인 예고편 토마스 크레취 나딘 라즈 퀘 그것 조심하다 정체 불명 존재 아들 베니 잃다 뒤 아내 떠나다 보내다 혼자 메이슨 박사 사후세계 증명 하다 위 프로젝트 시작 저승 이승 연결하다 약 제조 기술 가지다 마야 합류 뒤 프로젝트 성공 가까워지다 이내 환각 현실 사이 모든 것 뒤 키 팀 들이다 사라지다 가운데 메이슨 박사 아들 앗 간 존재 마주 하다 되다 연출 마리오 렌티 출연 토마스 크레취 나딘 라즈 퀘 쉬 스튜어트 영화 나이트 언데드 정보
나폴리: 작은 갱들의 도시,감독 클라우디오 네시 장편 니콜라 비롯 명의 소년 어른 마약 밀다 사업 도우 세력 늘리다 간다 새롭다 스쿠터 구매 하다 나폴리 골목 질주 총 사들이다 어른 조직 잠식 하다 시작 새롭다 실세 니콜 시장 일 하다 어머니 가구 사들이다 구역 소녀 사랑 빠지다 관행 행해지다 세금 거둬들이다 일 멈추다 존경 받다 구역 확보 하다 나가다 그것 구역 갈등 이어지다 소년 사이 다툼 일어나다 시작 니콜라 동생 또래 아이 형 행동 흠모 나머지 총 들다 거리 나서다 사태 이어지다 고모라 원작 자로 널리 알려지다 로베르토 사비아노 동명 소설 옮기다 작품 질주 하다 청춘 모습 이면 전적 스타일 상미 통해 포착 해내다 이탈리아 떠오르다 감독 클라우디오 네시 성장 이면 빛과 어둠 교차 하다 누 아르 스타일 그리다 나폴리 곳곳 도감 있다 표현 올해 베를린 국제 영화제 경쟁 부문 초청 되어다 각본 받다 성장 영화 표본 화이자 에너지 비극 묘사 돋보이다 작품 회 전주 국제 영화제 온라인 일정 안내 회 전주 국제 영화제 페스티벌 사이트 오픈 되어다 다운 상사 네이버 쇼핑 스마트 스토어 상쾌하다 포근포근하다 다운 상사 영화 나폴리 작다 갱 도시 메인 예고편 한글 범죄 마피아 도시 나폴리 마약 밀다 사업 뛰어들다 소년 니콜 거치다 없다 행동 어른 밀리 않다 새롭다 실세 구역 전쟁 시작 되다 감독 클라우디오 지오 바 네시 영화 나폴리 작다 갱 도시 정보 영상 유익하다 구독 좋다 를 누르다 구독 힘
